City,level_1,pollutants,avg_aqi_2022_2025,Good,Moderate,Poor,Satisfactory,Severe,Very Poor,population,per_capita_income,category,0
Tiruchirappalli,top2_pollutant,CO (8),61.35897435897436,78,7,0,109,0,1,1269897,142000,Tier 2,CO (8)
Tiruchirappalli,top3_pollutant,PM2.5 (5),61.35897435897436,78,7,0,109,0,1,1269897,142000,Tier 2,PM2.5 (5)
Tiruchirappalli,top4_pollutant,SO2 (3),61.35897435897436,78,7,0,109,0,1,1269897,142000,Tier 2,SO2 (3)
Varanasi,top1_pollutant,PM10 (943),67.12355555555555,414,159,1,551,0,0,1826013,104126,Tier 2,PM10 (943)
Varanasi,top2_pollutant,PM2.5 (348),67.12355555555555,414,159,1,551,0,0,1826013,104126,Tier 2,PM2.5 (348)
Varanasi,top3_pollutant,SO2 (211),67.12355555555555,414,159,1,551,0,0,1826013,104126,Tier 2,SO2 (211)
Varanasi,top4_pollutant,O3 (200),67.12355555555555,414,159,1,551,0,0,1826013,104126,Tier 2,O3 (200)
Varanasi,top5_pollutant,NO2 (108),67.12355555555555,414,159,1,551,0,0,1826013,104126,Tier 2,NO2 (108)
Visakhapatnam,top1_pollutant,PM10 (802),116.10707456978967,61,471,91,415,0,8,2440423,160000,Tier 2,PM10 (802)
Visakhapatnam,top2_pollutant,PM2.5 (203),116.10707456978967,61,471,91,415,0,8,2440423,160000,Tier 2,PM2.5 (203)
Visakhapatnam,top3_pollutant,NO2 (19),116.10707456978967,61,471,91,415,0,8,2440423,160000,Tier 2,NO2 (19)
Visakhapatnam,top4_pollutant,O3 (13),116.10707456978967,61,471,91,415,0,8,2440423,160000,Tier 2,O3 (13)
Visakhapatnam,top5_pollutant,CO (6),116.10707456978967,61,471,91,415,0,8,2440423,160000,Tier 2,CO (6)
