,area,month,state,aqi_value
2445,Darbhanga,2023-01,Bihar,364.7142857142857
2446,Dausa,2023-03,Rajasthan,138.26315789473685
2447,Dausa,2023-04,Rajasthan,155.3
2448,Dausa,2023-05,Rajasthan,139.42857142857142
2449,Dausa,2023-06,Rajasthan,128.79310344827587
2450,Dausa,2023-07,Rajasthan,93.25806451612904
2451,Dausa,2023-08,Rajasthan,134.1
2452,Dausa,2023-09,Rajasthan,93.33333333333333
2453,Dausa,2023-10,Rajasthan,152.5
2454,Dausa,2023-11,Rajasthan,271.57142857142856
2455,Dausa,2023-12,Rajasthan,206.58064516129033
2456,Dausa,2024-01,Rajasthan,200.58064516129033
2457,Dausa,2024-02,Rajasthan,149.75
2458,Dausa,2024-03,Rajasthan,130.53571428571428
2459,Dausa,2024-04,Rajasthan,146.9655172413793
2460,Dausa,2024-05,Rajasthan,177.6206896551724
2461,Dausa,2024-06,Rajasthan,131.78571428571428
2462,Dausa,2024-07,Rajasthan,94.36666666666666
2463,Dausa,2024-08,Rajasthan,64.10714285714286
2464,Dausa,2024-09,Rajasthan,85.3
2465,Dausa,2024-10,Rajasthan,112.13333333333334
2466,Dausa,2024-11,Rajasthan,163.68965517241378
2467,Dausa,2024-12,Rajasthan,157.93548387096774
2468,Dausa,2025-01,Rajasthan,135.32142857142858
2469,Dausa,2025-02,Rajasthan,151.92592592592592
2470,Dausa,2025-03,Rajasthan,123.3
2471,Dausa,2025-04,Rajasthan,180.59259259259258
2472,Davanagere,2022-04,Karnataka,75.84615384615384
2473,Davanagere,2022-05,Karnataka,62.03333333333333
2474,Davanagere,2022-06,Karnataka,32.357142857142854
2475,Davanagere,2022-07,Karnataka,18.821428571428573
2476,Davanagere,2022-08,Karnataka,19.304347826086957
2477,Davanagere,2022-09,Karnataka,21.565217391304348
2478,Davanagere,2022-10,Karnataka,46.0
2479,Davanagere,2022-11,Karnataka,81.57692307692308
2480,Davanagere,2022-12,Karnataka,79.0909090909091
2481,Davanagere,2023-01,Karnataka,77.82608695652173
2482,Davanagere,2023-02,Karnataka,99.83333333333333
2483,Davanagere,2023-03,Karnataka,65.11111111111111
2484,Davanagere,2023-04,Karnataka,59.708333333333336
2485,Davanagere,2023-05,Karnataka,38.0
2486,Davanagere,2023-06,Karnataka,41.22222222222222
2487,Davanagere,2023-07,Karnataka,19.785714285714285
2488,Davanagere,2023-08,Karnataka,33.142857142857146
2489,Davanagere,2023-09,Karnataka,28.25
2490,Davanagere,2023-10,Karnataka,78.60714285714286
2491,Davanagere,2023-11,Karnataka,81.5
2492,Davanagere,2023-12,Karnataka,76.34482758620689
2493,Davanagere,2024-01,Karnataka,72.63333333333334
2494,Davanagere,2024-02,Karnataka,67.34615384615384
2495,Davanagere,2024-03,Karnataka,77.8
2496,Davanagere,2024-04,Karnataka,66.19047619047619
2497,Davanagere,2024-05,Karnataka,52.392857142857146
2498,Davanagere,2024-06,Karnataka,26.653846153846153
2499,Davanagere,2024-07,Karnataka,24.59259259259259
2500,Davanagere,2024-08,Karnataka,24.235294117647058
2501,Davanagere,2024-09,Karnataka,27.107142857142858
2502,Davanagere,2024-10,Karnataka,53.0625
2503,Davanagere,2024-11,Karnataka,91.41379310344827
2504,Davanagere,2024-12,Karnataka,82.14285714285714
2505,Davanagere,2025-01,Karnataka,81.6086956521739
2506,Davanagere,2025-02,Karnataka,87.76
2507,Davanagere,2025-03,Karnataka,73.11111111111111
2508,Davanagere,2025-04,Karnataka,63.15384615384615
2509,Dehradun,2022-04,Uttarakhand,127.33333333333333
2510,Dehradun,2022-05,Uttarakhand,100.2
2511,Dehradun,2022-06,Uttarakhand,109.26923076923077
2512,Dehradun,2022-07,Uttarakhand,33.583333333333336
2513,Dehradun,2022-08,Uttarakhand,39.28
2514,Dehradun,2022-09,Uttarakhand,71.5
2515,Dehradun,2022-10,Uttarakhand,105.9090909090909
2516,Dehradun,2022-11,Uttarakhand,87.72727272727273
2517,Dehradun,2022-12,Uttarakhand,159.46666666666667
2518,Dehradun,2023-01,Uttarakhand,160.14285714285714
2519,Dehradun,2023-02,Uttarakhand,102.72222222222223
2520,Dehradun,2023-03,Uttarakhand,74.48387096774194
2521,Dehradun,2023-04,Uttarakhand,96.03448275862068
2522,Dehradun,2023-05,Uttarakhand,86.83333333333333
2523,Dehradun,2023-06,Uttarakhand,76.76666666666667
2524,Dehradun,2023-07,Uttarakhand,53.6
2525,Dehradun,2023-08,Uttarakhand,80.95833333333333
2526,Dehradun,2023-09,Uttarakhand,105.73913043478261
2527,Dehradun,2023-10,Uttarakhand,91.38461538461539
2528,Dehradun,2023-11,Uttarakhand,102.0
2529,Dehradun,2023-12,Uttarakhand,140.06451612903226
2530,Dehradun,2024-01,Uttarakhand,230.10714285714286
2531,Dehradun,2024-02,Uttarakhand,104.64285714285714
2532,Dehradun,2024-03,Uttarakhand,87.57142857142857
2533,Dehradun,2024-04,Uttarakhand,112.28571428571429
2534,Dehradun,2024-05,Uttarakhand,135.67741935483872
2535,Dehradun,2024-06,Uttarakhand,121.93103448275862
2536,Dehradun,2024-07,Uttarakhand,41.0
2537,Dehradun,2024-08,Uttarakhand,31.76923076923077
2538,Dehradun,2024-09,Uttarakhand,36.07142857142857
2539,Dehradun,2024-10,Uttarakhand,91.96666666666667
2540,Dehradun,2024-11,Uttarakhand,160.1
2541,Dehradun,2024-12,Uttarakhand,113.74074074074075
2542,Dehradun,2025-01,Uttarakhand,130.26666666666668
2543,Dehradun,2025-02,Uttarakhand,76.0
2544,Dehradun,2025-03,Uttarakhand,81.26666666666667
2545,Dehradun,2025-04,Uttarakhand,121.0
2546,Delhi,2022-04,Delhi,255.4
